Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
The Girl at the Rock Show	4	18	9	5	8	34	5	7	3	3	9	0	11	6	6	7	18	7	16	4	2	2	10	36	17	11	17	2	0	0	17	16	9	16	12	4	6	3	7	5	7	5	3	3	10	2	3	1	14	2	3	5	7	4	15	1	13	6	3	1	41	1	3	8	1	6	4	5	4	59	3	3	5	0	6	19	3	10	1	2	4	6	15	6	4	9	2	0	3	5	17	2	10	5	14	4	10	15	7	6	4	12	5	5	2	1	8	7	3	3	2	1	3	8	2	4	3	8	6	3	5	7	9	0	4	8	3	9	0	9	8	16	0	5	4	0	1	0	5	14	10	1	6	31	3	3	2	5	18	8	8	7	5	6	3	4	2	1	8	9	1	1	5	15	15	5	4	7	5	4	42	2	4	3	9	7	9	20	16	4	4	0	5	2	3	6	5	5	7	13	6	24	0	1	18	0	2	3	7	13	5	4	7	2	0	4	5	2	4	19	2	2	7	8	2	2	11	4	2	3	5	6	3	1	5	16	11	5	2	4	6	19	24	1	4	13	5	6	6	17	5	8	0	6	3	5	3	3	5	8	1	2	2	4	4	5	8	11	6	9	5	1	1	10	2	11	13	6	2	14	3	1	8	34	4	2	4	2	3	3	1	0	4	2	5	6	2	3	2	3	2	5	4	4	5	1	1	2	2	1	5	5	2	1	2	16	3	3	1	7	6	7	5	24	2	4	3	18	4	1	3	4	4	19	10	6	6	1	0	4	12	5	5	2	1	2	8	3	5	11	10	4	3	2	2	9	3	2	1	5	10	3	1	2	1	1	0	1	10	10	1	6	4	2	4	1	1	9	7	4	1	2	6	1	5	3	5	3	2	5	4	2	1	8	3	2	4	3	5	4	4	4	6	5	6	0	1	2	3	12	5	4	13	14	7	7	1	0	4	37	3	1	5	12	7	5	19	1	0	3	0	2	0	17	2	1	3	16	4	4	1	2	0	2	3	1	2	10	13	0	4	1	3	2	11	3	15	1	17	6	7	12	0	10	3	8	1	0	2	2	0	1	2	3	0	1	4	2	1	3	3	2	4	7	8	2	2	0	1	8	5	1	1	19	0	0	6	10	2	4	0	5	0	2	10	4	1	6	6	2
Swinging Singles Club	2	16	5	3	1	16	10	7	3	1	0	0	2	1	0	3	13	0	2	7	0	8	8	5	2	7	0	2	0	3	35	6	2	0	1	0	3	4	0	0	4	2	9	1	3	2	1	0	3	2	3	0	8	5	0	4	9	6	1	8	1	7	2	3	1	2	2	5	3	0	1	1	2	0	4	5	0	1	2	0	0	2	6	1	3	3	1	5	1	3	2	2	0	0	2	0	11	5	9	4	3	0	0	0	2	5	1	1	1	3	1	10	1	0	5	1	9	3	5	0	3	1	1	1	1	1	2	0	0	6	0	8	0	2	2	4	0	0	2	3	3	1	15	1	0	0	0	3	9	2	0	18	1	3	0	0	3	39	7	1	6	0	0	5	0	1	2	0	2	3	0	3	1	1	2	0	1	15	1	8	3	0	2	0	3	1	7	6	2	9	7	0	17	2	3	4	3	0	1	8	4	2	2	1	6	3	2	0	1	4	1	0	0	0	3	2	10	1	16	1	2	1	6	1	1	13	2	8	0	2	4	7	7	2	0	7	0	1	2	0	1	1	0	1	3	5	3	0	0	4	1	1	3	2	1	1	0	6	5	1	0	2	3	5	2	1	5	0	5	16	0	4	2	0	1	2	2	2	0	3	3	2	1	2	3	2	1	15	13	3	0	0	3	7	0	3	6	5	3	0	2	1	5	4	1	12	9	6	5	2	1	2	0	1	3	1	0	0	3	1	0	2	0	8	3	6	1	2	0	1	0	3	10	0	1	1	1	1	2	2	1	1	2	3	0	1	0	2	1	2	1	3	1	0	5	3	3	0	8	1	2	1	3	0	0	0	1	5	14	0	6	0	0	5	12	1	7	6	1	0	0	0	9	3	0	4	3	0	5	2	5	4	2	5	1	3	4	3	1	1	0	6	27	8	0	0	0	2	3	1	0	0	2	3	0	2	1	0	0	5	0	3	2	4	2	1	2	2	1	2	1	0	3	6	1	8	7	3	3	1	0	2	0	4	1	4	7	1	0	4	1	11	0	5	1	3	1	5	2	2	0	0	2	36	0	0	0	6	1	1	0	0	1	4	0	4	0	1	1	0	1	3	14	1	0	2	0	2	0	2	3	1	0	1	2	3	0	3	0	2
The Listening Ear	4	17	6	9	25	54	1	30	13	17	19	13	39	22	6	14	16	17	20	6	97	24	41	22	9	2	6	4	7	6	49	1	3	8	172	4	5	12	11	8	4	5	5	1	19	3	6	6	24	4	11	14	13	20	19	25	22	9	3	43	1	10	5	11	10	3	4	7	2	9	16	1	29	13	17	5	7	17	4	1	4	8	23	0	5	26	8	17	10	9	14	10	5	7	8	7	2	0	27	9	3	1	14	2	5	4	9	7	1	8	11	4	12	5	0	24	11	5	17	8	10	4	18	15	10	15	15	4	28	5	14	24	1	3	11	8	8	24	14	0	13	25	6	10	12	4	10	9	8	28	13	1	8	14	5	26	17	3	6	7	6	2	9	3	13	12	5	4	10	7	3	2	7	24	17	6	25	0	3	17	11	14	6	3	2	17	4	6	8	7	9	1	5	7	6	5	12	7	3	6	10	9	26	8	10	4	19	22	7	0	15	13	7	2	8	20	14	18	3	7	5	2	4	5	2	5	4	16	11	17	3	0	26	10	1	0	9	3	10	17	20	8	6	5	9	15	3	8	9	1	1	4	11	13	9	1	8	16	9	9	14	5	20	1	8	3	1	9	20	37	3	11	8	5	4	7	5	5	2	14	7	8	38	3	2	11	4	36	2	4	3	4	1	7	6	3	0	13	2	3	3	31	5	5	30	35	12	14	11	9	7	3	7	4	8	3	15	0	4	8	4	10	4	9	9	2	18	3	7	18	14	2	5	10	14	13	7	4	5	9	4	6	6	17	2	9	7	7	20	9	8	4	12	55	6	23	7	5	13	7	1	11	7	22	5	3	3	3	0	5	4	6	3	5	7	1	2	21	9	4	9	14	4	9	3	4	1	14	11	0	12	5	3	5	6	14	10	8	8	8	4	3	13	12	2	7	14	2	2	8	4	3	3	5	4	1	16	7	10	8	2	8	9	8	21	0	2	2	3	14	5	15	3	23	16	18	0	20	11	16	3	8	1	9	21	4	6	2	1	6	4	18	6	6	8	6	2	3	6	0	4	4	5	0	9	4	4	10	7	3	50	4	4	1	7	2	12	5	15	7	4	9	4	8	6	4	1	20	6	9	2	3	7	12	2	2	1	26	7	8
FlowRadio Playlists (and Blog)	1	0	0	0	1	0	0	0	15	3	0	3	0	0	0	0	0	2	0	0	0	0	1	0	3	0	1	0	8	1	0	0	0	0	2	0	0	0	0	0	1	3	0	4	0	8	8	15	1	5	0	0	0	4	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	10	0	0	0	2	16	0	1	0	0	2	0	0	8	1	0	3	1	0	0	0	0	0	0	4	0	0	3	1	0	16	0	0	0	0	0	0	4	1	0	0	7	0	0	0	0	0	0	0	4	0	0	1	0	0	0	3	0	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0	3	4	1	1	3	3	0	4	0	0	0	0	2	1	0	1	0	0	12	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3	17	7	0	9	0	0	3	0	3	1	24	0	0	0	0	0	0	0	18	5	0	2	0	0	0	0	2	24	2	1	0	0	0	0	0	8	11	0	1	2	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	1	0	1	0	0	35	0	3	0	0	24	3	0	8	0	0	0	10	0	4	0	0	0	147	1	1	1	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	11	0	2	0	0	0	0	0	0	1	40	0	3	0	2	0	0	1	0	0	4	0	1	2	1	0	1	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	5	0	4	0	0	0	0	0	0	0	0	9	4	1	0	0	0	2	2	0	1	0	0	5	2	1	3	15	4	1	0	2	0	0	17	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	2	2	1	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	7	0	0	0
FOLK IS NOT HAPPY	5	0	1	1	0	0	2	0	2	0	0	0	0	0	1	0	3	0	1	4	0	0	1	0	1	0	0	0	1	2	0	4	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	5	17	0	2	0	0	0	1	2	1	0	1	3	4	0	1	0	0	0	2	1	1	1	0	0	0	3	1	0	1	1	0	0	4	0	1	0	0	1	2	0	0	0	0	0	1	0	3	0	2	0	0	2	0	2	1	0	1	4	1	0	0	0	0	4	2	2	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	1	0	1	0	3	0	0	1	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	1	1	0	0	4	3	0	0	0	5	0	8	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	5	0	0	0	2	0	0	0	1	1	0	0	1	0	0	1	0	3	0	0	2	6	2	0	4	0	0	4	0	2	0	1	0	0	1	1	1	0	0	1	28	0	2	1	1	0	1	0	9	0	0	1	2	0	1	0	1	3	3	0	0	0	0	0	0	2	4	0	0	0	1	0	1	3	0	0	0	0	0	0	0	2	0	0	5	1	0	1	8	0	0	1	0	0	2	0	0	1	0	0	5	0	0	0	2	0	1	2	0	0	0	0	6	0	0	0	0	4	5	0	0	1	0	4	0	0	0	0	0	2	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	10	0	1	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	4	0	1	0	2	0	1	0	0	0	2	0	1	1	2	0	1	0	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	1	0	0	0	3	1	2	0	1	2	3	0	0	2	0	1	0	3	0	0	3	0	0	1	0	2	0	0	1
MAGGOT CAVIAR	29	1	1	12	8	3	1	3	9	14	1	5	3	1	1	5	10	20	12	12	1	0	4	0	5	15	6	3	8	11	15	7	25	4	2	0	4	0	3	5	7	3	5	8	1	26	4	1	2	13	8	2	13	0	6	7	6	2	0	5	41	2	7	0	4	2	3	0	5	25	1	1	2	3	1	14	3	2	5	11	4	2	1	0	12	2	0	3	3	8	5	3	0	7	1	3	13	0	6	12	5	0	2	1	7	2	24	1	8	8	1	16	14	3	12	3	4	9	0	11	3	9	2	5	1	0	5	3	10	5	3	12	3	10	1	9	4	4	0	7	0	2	12	3	1	0	5	6	5	3	6	20	2	4	3	1	3	1	2	5	6	7	1	5	4	0	1	6	1	6	9	2	0	2	11	19	1	54	29	11	5	2	3	1	6	3	4	1	2	6	1	0	6	2	18	2	9	2	0	0	5	1	5	0	4	6	1	1	10	76	1	6	4	2	5	1	5	0	1	3	9	9	5	11	6	9	2	2	0	0	7	16	14	0	3	19	4	8	3	3	1	15	6	4	9	3	4	5	1	0	23	8	14	1	1	4	2	15	0	1	0	0	1	5	17	2	2	3	3	1	0	1	4	12	0	0	0	1	1	4	0	6	13	7	2	2	5	6	2	0	0	5	3	2	29	2	6	12	4	13	4	21	2	3	3	4	1	20	8	0	1	1	6	1	4	0	1	17	4	5	9	1	1	53	0	2	1	0	1	4	4	2	2	3	7	9	4	2	0	15	0	7	1	4	4	9	5	1	1	2	1	0	1	0	3	3	3	3	5	6	8	4	3	5	17	4	7	5	107	0	5	0	10	3	53	1	9	4	3	4	4	8	5	2	2	0	1	7	0	5	2	10	1	11	2	7	24	14	3	0	3	2	5	2	1	3	2	2	5	1	2	0	0	4	1	1	2	1	2	4	1	2	1	41	0	0	1	7	10	0	10	1	2	3	1	7	25	20	7	2	1	0	2	9	3	13	0	1	2	0	2	5	4	7	2	1	1	1	2	3	2	1	5	49	18	0	11	6	1	3	2	2	5	7	8	34	7	3	1	6	1	8	5	2	0	1	8	16	1	9	1	1	0	5	9	0	0	7	1	2
INDIEohren.!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Spinitron Blog	2	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	1	9	1	3	1	10	0	0	0	0	1	0	1	1	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	78	0	0	2	2	0	3	0	0	0	2	1	3	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	9	0	0	7	0	0	1	6	0	2	0	1	0	0	0	0	17	2	0	2	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	2	0	1	2	5	1	0	0	7	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0	8	0	2	0	0	3	0	0	0	1	2	0	0	0	6	5	0	0	0	0	2	0	6	0	3	0	1	6	0	0	0	0	0	2	5	0	0	0	0	5	0	0	0	0	9	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	3	1	1	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	5	1	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	1	0	1	0	78	10	1	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	8	0	0	8	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0	120	0	0	0	0	0	1	0	0	0	0
Desolation Row Records	1	0	3	0	0	3	2	2	6	0	2	5	2	2	3	1	0	0	1	0	15	1	1	0	0	2	1	0	3	16	32	0	1	7	3	0	0	1	2	1	5	0	1	0	1	6	0	4	1	0	3	0	0	0	1	6	0	2	6	3	2	0	0	1	12	0	0	0	6	1	0	0	0	4	1	1	6	0	3	11	17	5	0	8	1	0	4	7	0	8	0	9	0	0	0	0	0	1	0	1	4	5	1	30	13	4	9	0	2	4	1	0	3	2	0	0	10	7	4	5	0	3	0	0	2	1	3	1	7	3	0	1	2	0	4	28	0	0	0	1	0	0	3	10	23	1	5	2	1	3	0	4	0	0	2	1	1	6	0	4	0	4	4	1	2	4	1	8	4	0	0	0	0	0	8	0	0	4	0	0	3	0	9	0	0	5	1	1	5	5	3	0	1	11	0	0	0	3	8	0	0	1	2	3	1	5	2	2	5	1	3	2	2	0	2	13	0	2	7	5	0	2	10	5	5	0	1	0	15	1	1	0	6	21	2	1	0	5	0	0	1	7	6	2	0	0	0	3	8	1	3	1	6	0	0	5	0	0	1	1	3	0	0	0	4	0	0	4	1	0	2	2	1	3	1	5	2	2	10	0	5	0	6	7	3	4	6	1	2	0	4	3	1	0	0	2	18	0	3	0	1	1	1	0	3	2	0	0	25	3	0	2	0	0	0	6	0	0	14	17	0	1	1	17	0	4	0	1	3	19	1	0	0	2	0	2	1	8	0	0	0	0	3	10	2	5	3	5	5	0	0	0	2	13	5	2	1	2	0	2	4	0	8	6	4	10	0	1	3	2	1	0	0	0	0	0	0	0	3	2	1	2	4	0	2	2	1	0	0	0	0	0	0	0	2	1	0	1	2	1	1	0	0	0	10	2	3	9	0	8	0	0	2	2	0	0	4	0	2	19	5	2	8	0	0	7	0	0	2	0	2	0	0	1	9	0	0	2	0	11	1	3	6	14	0	0	0	3	3	0	1	1	3	0	0	0	1	2	4	7	9	4	2	1	0	5	0	0	2	2	7	10	1	0	0	0	9	2	0	1	2	5	0	1	0	0	0	0	3	0	0	0	6	0	0	0	4	0	1	0
The World's First Internet Baby	26	15	23	44	13	11	19	17	5	24	11	4	37	11	6	8	36	5	33	22	2	5	13	12	35	12	7	2	9	7	233	72	27	2	15	8	15	14	16	8	1	3	10	1	15	24	21	3	28	14	15	6	22	14	4	14	6	1	4	50	165	7	4	10	0	27	0	9	7	20	10	4	7	8	2	46	23	4	25	6	27	8	9	7	16	18	0	32	4	5	11	15	17	8	20	5	59	1	33	79	1	3	23	3	4	17	6	8	7	15	10	68	3	11	22	45	6	4	32	16	3	5	11	27	14	21	10	10	9	11	9	46	1	6	24	30	0	16	12	0	3	0	10	17	5	9	4	13	1	4	12	13	8	7	15	2	7	12	2	59	5	3	6	42	10	5	3	12	10	6	5	2	2	2	5	8	6	42	23	23	13	8	3	1	10	4	23	13	8	17	13	3	7	4	34	7	6	3	2	10	12	1	10	2	14	7	0	2	4	118	3	9	1	4	7	12	22	1	19	3	4	15	9	11	7	3	2	3	0	4	13	22	1	1	1	37	11	18	9	14	8	5	5	5	3	1	2	5	9	3	48	14	8	7	13	9	3	30	11	20	12	8	12	45	53	10	28	16	7	7	8	2	27	8	3	2	4	3	16	2	28	5	11	8	16	50	3	12	7	11	8	54	6	13	18	10	9	39	2	18	5	69	2	5	3	70	4	48	56	4	1	16	2	2	2	4	11	66	4	10	1	10	14	10	17	3	25	0	5	5	19	17	1	18	3	8	7	5	17	30	5	2	2	3	10	1	10	0	18	9	2	22	3	16	12	12	9	12	29	14	5	17	6	6	6	0	10	9	90	10	4	3	15	45	86	11	13	4	14	34	1	6	10	35	1	9	4	37	12	12	20	10	6	1	8	6	40	17	5	7	12	2	22	22	7	10	9	9	7	1	3	4	5	5	0	6	3	2	4	36	8	3	7	34	1	1	0	2	12	3	6	4	2	3	20	7	13	49	46	2	11	3	0	3	4	5	69	8	1	6	8	7	3	1	8	2	3	5	6	6	1	3	27	35	31	2	3	26	3	5	4	4	3	16	1	20	9	16	23	5	11	36	16	9	30	1	31	41	8	23	3	4	8	13	0	8	27	14	3	5
Morgan's Blog	1	9	7	0	3	4	0	4	2	1	18	1	7	2	1	4	2	2	4	15	3	3	3	6	2	4	1	5	2	1	0	4	2	1	22	9	6	5	2	1	6	1	3	0	4	1	3	2	2	6	3	2	2	13	3	0	8	3	3	6	1	3	7	0	1	2	1	1	3	3	2	4	4	1	2	6	2	3	1	1	2	3	13	0	4	4	1	0	3	0	1	7	0	2	1	3	1	8	4	5	1	1	3	0	3	5	4	4	5	2	6	5	5	1	2	5	0	3	0	8	5	0	6	2	3	2	2	13	6	7	3	1	0	4	7	1	6	3	1	5	1	2	0	3	1	4	3	4	7	6	0	2	2	2	0	7	2	13	7	2	7	1	1	7	3	0	3	1	4	1	14	4	4	2	0	11	8	0	4	1	2	2	11	4	2	5	2	1	3	1	6	0	2	1	2	5	2	7	0	4	1	5	1	3	0	1	6	7	0	1	10	1	4	2	5	0	1	6	4	0	2	2	4	1	0	1	2	3	0	6	0	5	2	4	2	0	9	3	4	3	2	2	3	0	6	5	2	3	4	2	0	0	6	2	7	2	2	4	0	1	1	2	4	2	0	6	1	0	4	3	4	2	5	4	0	4	2	3	1	12	3	3	1	3	7	2	1	5	0	4	3	2	0	0	2	2	4	6	3	0	0	1	1	2	2	9	4	3	0	2	2	1	10	4	1	2	3	11	1	6	4	5	4	1	6	0	2	1	3	3	3	3	5	3	2	2	2	3	1	2	3	6	0	6	0	3	3	2	5	0	0	1	1	2	1	1	0	0	0	3	2	0	5	0	0	6	0	0	0	0	2	4	0	7	0	0	3	3	0	0	2	0	2	12	1	2	2	2	9	1	4	1	2	3	2	1	0	1	0	6	1	5	10	3	2	1	2	3	3	6	0	4	0	0	1	5	0	1	1	0	3	3	1	14	1	0	2	0	1	6	4	2	1	3	5	0	5	3	1	0	2	2	5	3	1	5	0	1	2	3	5	8	1	1	0	7	0	5	6	1	1	2	0	0	1	0	4	0	3	0	2	1	1	1	1	1	0	1	2	2	3	0	0	6	2	2	1	0	0	2	3	2	2	5	3	1	0	3	1	1
Tremble Under Boom Lights	15	42	24	37	18	27	14	17	20	3	15	4	40	14	23	32	23	17	67	6	14	28	7	49	54	13	29	39	66	9	32	29	24	6	22	24	13	51	13	34	36	17	11	15	22	11	4	5	15	7	18	29	132	28	27	16	48	9	4	36	21	18	17	54	5	9	34	17	24	29	23	71	7	5	12	20	12	42	8	18	10	8	38	11	13	43	3	29	24	5	29	12	5	14	20	10	20	14	17	23	7	26	10	5	9	13	6	8	42	14	8	3	25	13	13	23	55	4	16	23	14	24	12	13	24	14	4	20	11	24	40	17	17	15	14	6	17	24	24	41	30	21	77	13	85	31	10	42	22	5	18	15	18	18	21	12	2	212	25	12	15	19	6	46	49	11	16	8	6	42	156	13	5	26	5	11	25	9	30	6	6	16	73	24	40	11	22	30	13	26	15	10	9	16	18	21	13	14	6	48	18	55	3	15	11	3	6	16	12	16	10	9	21	32	4	7	73	10	50	9	14	10	6	8	8	62	14	15	4	8	3	24	5	8	9	5	13	26	17	6	7	6	9	7	13	23	16	14	16	30	18	18	20	11	7	9	7	10	29	16	6	27	8	24	22	51	89	15	27	27	30	14	13	16	9	8	11	10	7	19	14	14	20	6	28	17	9	17	0	6	3	7	8	20	44	18	10	12	5	67	12	22	21	18	22	22	22	18	12	18	2	8	31	25	30	18	18	24	8	14	9	20	7	60	16	13	27	8	2	149	41	28	39	9	23	16	26	10	41	18	10	3	8	3	24	9	32	8	8	5	16	13	4	11	19	4	15	18	28	12	14	9	96	10	24	7	94	6	31	11	24	20	14	3	28	22	25	12	11	12	6	8	1	27	11	13	9	6	5	7	26	10	2	14	21	11	81	32	12	37	8	13	63	18	11	14	7	15	5	4	15	4	3	9	27	9	23	20	4	10	16	15	3	2	16	26	40	39	3	20	6	3	31	23	20	12	23	15	32	11	22	8	1	23	38	26	47	5	2	17	4	27	1	30	9	21	11	4	4	0	7	11	11	94	1	6	5	8	8	4	10	3	27	20	10	11	5	9	6	20	7	31	44	13	6	3	23	25	25	30	14	6	8	7	12	19	11	36	24	13
